Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-07-10 12:50 (-04),Live,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-06-26 13:22 (-04),234,132,41%,86,18.02,8.86,440,142.60,,
2021-07-11 09:45 (-04),Live,Hannah Frankson,30,Cycling,Music,30 min EDM Ride,2021-07-09 08:55 (-04),231,128,43%,78,17.68,8.84,410,134.50,,
2021-07-12 09:45 (-04),Live,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2021-07-07 02:25 (-04),238,132,43%,80,17.90,8.95,438,140.35,,
2021-07-13 08:09 (-04),On Demand,Sam Yo,30,Cycling,Low Impact,30 min Low Impact Ride,2021-06-30 02:24 (-04),207,115,38%,85,16.93,8.47,365,124.91,,
2021-07-14 09:15 (-04),Live,Sam Yo,30,Cycling,Music,30 min Spotify Hot Hits Australia Ride,2021-07-13 16:54 (-04),228,127,42%,82,17.66,8.83,397,131.76,,
2021-07-14 09:45 (-04),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-04 04:05 (-04),26,87,37%,77,15.14,1.26,63,128.21,,
2021-07-16 09:16 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2021-07-07 02:25 (-04),230,128,42%,80,17.37,8.69,401,132.58,,
2021-07-16 09:47 (-04),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2021-06-09 01:35 (-04),63,105,40%,80,16.39,2.74,127,127.91,,
2021-07-17 09:27 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min Rock Ride,2021-06-12 08:25 (-04),242,134,44%,79,18.11,9.06,421,136.83,,
2021-07-17 09:58 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),65,108,40%,79,16.64,2.77,131,130.93,,
2021-07-18 09:32 (-04),On Demand,Jess King,30,Cycling,Theme,30 min Sweat Steady Ride,2021-07-17 11:54 (-04),228,127,42%,80,17.62,8.81,400,132.41,,
2021-07-18 10:02 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),70,117,41%,80,17.22,2.87,138,135.03,,
2021-07-19 08:42 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2000s Pop Ride,2021-06-15 02:25 (-04),217,121,42%,78,17.10,8.55,381,128.31,,
2021-07-19 09:12 (-04),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-04 04:05 (-04),31,105,39%,81,16.48,1.37,62,126.90,,
2021-07-20 09:05 (-04),On Demand,Sam Yo,45,Cycling,Music,45 min Pop Ride,2020-11-23 13:25 (-04),303,112,40%,81,16.68,12.52,508,119.25,,
2021-07-20 09:51 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),73,122,42%,79,17.55,2.93,130,130.02,,
2021-07-20 10:03 (-04),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-07-08 09:00 (-04),,,,,,,47,107.79,,
2021-07-22 08:55 (-04),On Demand,Ben Alldis,45,Cycling,Music,45 min 2010s Ride,2021-01-25 02:55 (-04),330,122,40%,84,17.32,12.99,622,135.46,,
2021-07-22 09:40 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),90,100,38%,80,16.09,4.03,200,132.10,,
2021-07-27 09:05 (-04),On Demand,Sam Yo,45,Cycling,Music,45 min Pop Ride,2020-11-23 13:25 (-04),345,128,42%,80,17.66,13.25,587,130.48,,
2021-07-27 09:51 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),94,104,39%,81,16.45,4.12,199,131.66,,
2021-07-28 09:23 (-04),On Demand,Matt Wilpers,45,Cycling,Low Impact,45 min Low Impact Ride,2019-12-20 07:49 (-04),287,106,40%,80,16.45,12.34,491,116.83,,
2021-07-28 10:10 (-04),On Demand,Leanne Hainsby,10,Cycling,Cool Down,10 min Cool Down Ride,2021-05-24 01:45 (-04),68,112,40%,81,16.88,2.82,129,129.53,,
2021-07-29 09:12 (-04),On Demand,Sam Yo,45,Cycling,Music,45 min 90s Rock Ride,2021-05-08 08:25 (-04),346,128,43%,78,17.59,13.19,578,129.12,,
2021-07-29 09:58 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),100,111,39%,83,16.87,4.23,199,131.63,,
2021-08-01 09:55 (-04),On Demand,Sam Yo,60,Cycling,Music,60 min Rock Ride,2021-04-17 08:25 (-04),439,122,42%,80,17.36,17.36,805,132.85,,
2021-08-01 10:56 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),60,99,41%,74,16.12,2.69,132,131.35,,
2021-08-02 08:45 (-04),Live,Sam Yo,45,Cycling,Music,45 min 80s Ride,2021-07-31 08:24 (-04),326,121,41%,82,17.19,12.90,423,,,
2021-08-02 09:30 (-04),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-04 04:05 (-04),32,108,41%,80,16.63,1.38,42,,,
2021-08-03 08:48 (-04),On Demand,Sam Yo,60,Cycling,Music,60 min Rock Ride,2020-08-21 07:50 (-04),441,123,42%,80,17.44,17.44,573,,,
2021-08-03 09:49 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2021-06-16 01:45 (-04),48,80,37%,77,14.76,2.47,63,,,
2021-08-04 09:22 (-04),On Demand,,15,Cycling,Scenic Ride,15 min Crete Ride,,122,135,44%,79,18.02,4.51,158,,,
2021-08-04 09:39 (-04),On Demand,Adrian Williams,20,Cycling,Scenic Ride,20 min Savannah Ride,,139,116,40%,84,17.10,5.70,181,,,
2021-08-04 09:59 (-04),On Demand,,None,Cycling,Scenic Ride,10 KM Big Sur Ride,,160,128,43%,81,17.91,6.21,208,,,
2021-08-04 10:20 (-04),On Demand,Kendall Toole,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-09 09:00 (-04),25,84,39%,71,14.82,1.23,32,,,
2021-08-08 10:28 (-04),On Demand,Ben Alldis,60,Cycling,Music,60 min 2010s Ride,2020-07-01 08:52 (-04),505,140,44%,82,18.33,18.33,778,130.01,,
2021-08-08 11:28 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2021-02-01 02:00 (-04),75,125,43%,80,17.75,2.96,121,124.23,,
2021-08-10 09:17 (-04),On Demand,Ben Alldis,60,Cycling,Music,60 min 2010s Ride,2020-07-01 08:52 (-04),513,142,44%,81,18.40,18.40,756,127.65,,
2021-08-10 10:18 (-04),On Demand,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,2020-03-03 03:32 (-04),107,119,40%,83,17.19,4.30,181,124.32,,
2021-08-11 09:01 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min Rock Ride,2021-08-02 08:55 (-04),251,139,43%,82,18.34,9.17,355,122.76,,
2021-08-11 09:31 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min 2000s Rock Ride,2021-08-09 02:25 (-04),236,131,42%,85,17.93,8.96,390,130.10,,
2021-08-11 10:01 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),89,98,39%,80,16.05,4.02,174,121.15,,
2021-08-13 09:08 (-04),On Demand,Matt Wilpers,30,Cycling,Music,30 min Country Ride,2021-03-18 16:51 (-04),239,133,43%,82,17.96,8.98,364,124.64,,
2021-08-13 09:39 (-04),Live,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2021-08-11 08:54 (-04),261,145,44%,82,18.57,9.29,412,134.82,,
2021-08-13 10:11 (-04),On Demand,Leanne Hainsby,15,Cycling,Cool Down,15 min Cool Down Ride,2019-10-24 05:17 (-04),91,101,39%,80,16.09,4.03,168,118.60,,
2021-08-14 10:01 (-04),On Demand,Matt Wilpers,30,Cycling,Music,30 min Country Ride,2021-07-14 05:53 (-04),232,129,40%,88,17.83,8.92,357,123.20,,
2021-08-14 10:32 (-04),On Demand,Sam Yo,45,Cycling,Low Impact,45 min Low Impact Ride,2021-05-22 08:25 (-04),321,119,40%,83,17.29,12.97,516,120.37,,
2021-08-14 11:17 (-04),On Demand,Bradley Rose,10,Cycling,Cool Down,10 min Cool Down Ride,2021-08-13 10:21 (-04),67,111,38%,86,16.78,2.80,116,120.84,,
2021-08-16 09:08 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min Classic Rock Ride,2021-08-14 08:25 (-04),270,150,47%,78,18.85,9.43,380,128.07,,
2021-08-16 09:39 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2021-08-09 08:55 (-04),239,133,45%,76,17.96,8.98,399,132.15,,
2021-08-16 10:09 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),99,110,40%,83,16.80,4.20,183,125.11,,
2021-08-17 09:18 (-04),On Demand,Ben Alldis,60,Cycling,Music,60 min 2010s Ride,2020-07-01 08:52 (-04),521,145,45%,81,18.60,18.61,777,129.91,,
2021-08-17 10:18 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),96,106,39%,82,16.49,4.13,184,125.54,,
2021-08-18 09:07 (-04),On Demand,Sam Yo,30,Cycling,Low Impact,30 min Low Impact Ride,2021-07-27 02:25 (-04),229,127,41%,84,17.60,8.80,314,114.00,,
2021-08-18 09:38 (-04),On Demand,Bradley Rose,30,Cycling,Low Impact,30 min Low Impact Ride,2021-07-18 04:51 (-04),215,119,40%,83,17.30,8.66,331,117.51,,
2021-08-20 09:42 (-04),On Demand,Matt Wilpers,30,Cycling,Music,30 min Country Ride,2020-11-25 06:52 (-04),253,140,44%,82,18.37,9.19,367,125.36,,
2021-08-20 10:13 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2010s Rock Ride,2021-07-24 08:25 (-04),255,142,46%,77,18.48,9.25,380,128.04,,
2021-08-20 10:43 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2021-06-16 01:45 (-04),71,118,42%,78,17.33,2.89,115,120.41,,
2021-08-20 10:54 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-22 01:00 (-04),76,126,43%,80,17.79,2.97,123,125.93,,
2021-08-22 09:28 (-04),On Demand,Sam Yo,30,Cycling,Intervals,30 min HIIT Ride,2021-08-10 02:26 (-04),243,135,40%,89,17.99,9.00,365,124.81,,
2021-08-23 09:04 (-04),On Demand,Denis Morton,30,Cycling,Music,30 min 2000s Ride,2021-08-19 16:53 (-04),235,130,41%,85,17.69,8.85,344,120.41,,
2021-08-23 09:35 (-04),On Demand,Hannah Corbin,30,Cycling,Theme,30 min Country Happy Hour Ride,2021-08-13 11:23 (-04),271,151,47%,79,18.98,9.49,397,131.62,,
2021-08-23 10:06 (-04),On Demand,Denis Morton,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-23 17:00 (-04),57,95,37%,80,15.86,2.65,107,115.46,,
2021-08-23 10:16 (-04),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-16 09:00 (-04),27,93,34%,89,15.72,1.29,52,114.30,,
2021-08-31 08:59 (-04),On Demand,Matt Wilpers,30,Cycling,Music,30 min Country Ride,2020-06-30 14:17 (-04),231,128,43%,82,17.65,8.82,341,119.68,,
2021-08-31 09:30 (-04),On Demand,Sam Yo,10,Cycling,Low Impact,10 min Low Impact Ride,2021-08-31 02:52 (-04),78,130,41%,86,17.97,3.00,120,123.66,,
2021-09-01 08:42 (-04),On Demand,Matt Wilpers,30,Cycling,Music,30 min Country Ride,2020-03-01 17:19 (-04),250,139,45%,79,18.30,9.15,377,127.39,,
2021-09-01 09:12 (-04),On Demand,Bradley Rose,10,Cycling,Cool Down,10 min Cool Down Ride,2021-04-17 03:00 (-04),79,131,44%,80,18.08,3.02,126,127.55,,
2021-09-02 08:55 (-04),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2021-09-01 05:52 (-04),350,129,39%,89,17.84,13.39,587,130.46,,
2021-09-02 09:41 (-04),On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,2021-08-14 14:00 (-04),90,100,36%,86,16.18,4.05,192,129.10,,
2021-09-02 09:56 (-04),On Demand,Ally Love,10,Cycling,Cool Down,10 min Cool Down Ride,2019-12-02 12:02 (-04),63,105,42%,75,16.55,2.76,127,128.07,,
2021-09-04 09:14 (-04),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Ride,2021-07-12 02:25 (-04),223,124,38%,90,17.43,8.72,319,114.93,,
2021-09-04 09:45 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2021-08-11 08:54 (-04),272,151,45%,81,18.88,9.44,409,134.21,,
2021-09-04 10:16 (-04),On Demand,Jess King,20,Cycling,Music,20 min EDM Trap Ride,2021-01-13 15:00 (-04),160,133,46%,74,18.04,6.02,267,132.49,,
2021-09-04 10:37 (-04),On Demand,Jess King,5,Cycling,Cool Down,5 min Cool Down Ride,2019-11-03 09:00 (-04),39,131,41%,87,18.00,1.50,64,129.28,,
2021-09-05 09:57 (-04),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Ride,2021-06-04 03:30 (-04),220,122,40%,85,17.51,8.76,316,114.41,,
2021-09-05 10:28 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2021-06-18 16:54 (-04),206,114,38%,89,17.07,8.54,328,117.49,,
2021-09-05 10:58 (-04),On Demand,Sam Yo,30,Cycling,Low Impact,30 min Low Impact Ride,2021-08-18 02:25 (-04),225,125,42%,81,17.49,8.75,348,121.19,,
2021-09-05 11:29 (-04),On Demand,Alex Toussaint,10,Cycling,Cool Down,10 min Cool Down Ride,2021-01-30 15:05 (-04),71,118,43%,76,17.28,2.89,119,123.24,,
2021-09-06 09:35 (-04),On Demand,Ben Alldis,10,Cycling,Power Zone,10 min FTP Warm Up Ride,2021-05-04 01:00 (-04),63,104,35%,94,16.27,2.72,103,112.91,,
2021-09-06 09:47 (-04),On Demand,Ben Alldis,20,Cycling,Power Zone,20 min FTP Test Ride,2021-05-04 01:15 (-04),202,168,44%,88,19.97,6.66,289,139.61,,
2021-09-06 10:10 (-04),On Demand,Sam Yo,20,Cycling,Music,20 min Pop Ride,2021-08-17 02:52 (-04),154,128,43%,78,17.58,5.87,264,131.39,,
2021-09-08 09:05 (-04),On Demand,Alex Toussaint,60,Cycling,Theme,60 min Club Bangers Ride,2020-08-28 11:20 (-04),471,131,44%,78,17.94,17.94,756,127.66,,
2021-09-08 10:05 (-04),On Demand,Alex Toussaint,30,Cycling,Low Impact,30 min Low Impact Ride,2021-04-01 17:00 (-04),198,110,39%,84,16.69,8.35,374,126.86,,
2021-09-09 09:14 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Rock Ride,2021-09-08 05:53 (-04),222,123,38%,92,17.59,8.79,350,121.69,,
2021-09-09 09:45 (-04),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Ride,2021-09-07 10:30 (-04),350,130,42%,84,17.88,13.42,606,133.18,,
2021-09-09 10:30 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),84,93,37%,83,15.63,3.91,196,130.66,,
2021-09-10 09:11 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min House Ride,2021-09-08 06:00 (-04),266,148,45%,81,18.74,9.38,382,128.43,,
2021-09-10 09:41 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2021-09-06 06:00 (-04),250,139,44%,80,18.29,9.15,397,131.73,,
2021-09-10 10:12 (-04),On Demand,Matt Wilpers,30,Cycling,Music,30 min Country Ride,2021-07-14 05:53 (-04),213,118,40%,85,17.19,8.60,398,131.79,,
2021-09-10 10:43 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-01-24 08:00 (-04),49,82,35%,82,14.73,2.46,113,119.12,,
2021-09-12 09:11 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2021-09-11 08:54 (-04),702,130,39%,90,17.98,26.98,1123,126.88,,
2021-09-12 10:42 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2020-09-10 13:02 (-04),55,92,40%,74,15.61,2.61,111,117.96,,
2021-09-13 09:02 (-04),On Demand,Alex Toussaint,30,Cycling,Music,30 min 2000s Ride,2021-09-11 13:24 (-04),221,123,42%,82,17.40,8.70,322,115.58,,
2021-09-13 09:32 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 80s Rock Ride,2021-09-11 05:30 (-04),240,133,45%,75,17.99,9.00,350,121.68,,
2021-09-13 10:03 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min Dance Music Ride,2021-08-24 13:26 (-04),233,129,44%,78,17.74,8.87,381,128.19,,
2021-09-13 10:33 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2021-02-01 02:00 (-04),64,106,42%,75,16.63,2.78,119,123.33,,
2021-09-15 09:18 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2021-09-11 08:54 (-04),711,132,40%,90,18.08,27.11,1158,129.36,,
2021-09-15 10:48 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2021-02-01 02:00 (-04),52,87,38%,77,15.30,2.56,114,120.00,,
2021-09-16 09:31 (-04),On Demand,Ben Alldis,30,Cycling,Theme,30 min Global Beats Ride,2021-09-14 15:25 (-04),259,144,44%,81,18.56,9.29,367,125.26,,
2021-09-16 10:02 (-04),On Demand,Leanne Hainsby,30,Cycling,Music,30 min Ed Sheeran Ride,2021-09-14 13:55 (-04),222,123,41%,84,17.54,8.78,380,127.91,,
2021-09-16 10:33 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Ride,2021-09-11 14:00 (-04),211,117,39%,86,17.12,8.56,371,126.13,,
2021-09-16 11:03 (-04),On Demand,Leanne Hainsby,10,Cycling,Cool Down,10 min Cool Down Ride,2021-02-11 07:25 (-04),58,96,40%,74,15.79,2.63,114,120.17,,
2021-09-18 07:46 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2021-09-11 08:54 (-04),719,133,41%,88,18.16,27.25,1141,128.15,,
2021-09-18 09:17 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2021-02-01 02:00 (-04),63,105,41%,76,16.54,2.76,124,126.26,,
2021-09-19 09:56 (-04),On Demand,Olivia Amato,30,Cycling,Music,30 min EDM Ride,2021-09-10 07:54 (-04),263,146,44%,82,18.68,9.34,368,125.49,,
2021-09-19 10:27 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min Ministry of Sound: 30th Birthday,2021-09-16 14:55 (-04),242,135,44%,79,18.06,9.04,374,126.68,,
2021-09-19 11:02 (-04),On Demand,Denis Morton,30,Cycling,Music,30 min Country Ride,2021-09-07 07:54 (-04),216,120,41%,81,17.23,8.62,359,123.48,,
2021-09-19 11:32 (-04),On Demand,Olivia Amato,10,Cycling,Cool Down,10 min Cool Down Ride,2021-07-18 14:00 (-04),57,94,35%,87,15.64,2.61,112,118.78,,
2021-09-20 09:12 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2021-06-12 07:52 (-04),712,132,41%,85,18.07,27.12,1065,122.73,,
2021-09-20 10:42 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2020-10-08 13:05 (-04),49,82,36%,78,14.80,2.47,106,114.98,,
2021-09-27 09:00 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2021-05-29 07:24 (-04),732,136,41%,86,18.24,27.36,1083,124.03,,
2021-09-27 10:31 (-04),On Demand,Matt Wilpers,10,Cycling,Warm Up,10 min Warm Up Ride,2020-05-26 10:00 (-04),72,120,40%,84,17.30,2.89,124,126.38,,
2021-09-28 09:18 (-04),On Demand,Sam Yo,30,Cycling,Low Impact,30 min Low Impact Ride,2021-09-07 12:00 (-04),225,125,40%,86,17.40,8.70,310,113.28,,
2021-09-28 09:49 (-04),On Demand,Hannah Corbin,30,Cycling,Low Impact,30 min Low Impact Ride,2021-04-16 11:23 (-04),216,120,42%,78,17.46,8.73,324,116.07,,
2021-09-29 09:21 (-04),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-09-26 06:54 (-04),370,137,42%,84,18.34,13.75,524,121.56,,
2021-09-29 10:06 (-04),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-06-08 13:25 (-04),359,133,43%,81,18.14,13.61,576,128.84,,
2021-09-29 10:51 (-04),On Demand,Leanne Hainsby,10,Cycling,Cool Down,10 min Cool Down Ride,2021-09-27 01:00 (-04),65,109,40%,77,16.49,2.75,124,126.38,,
2021-10-01 09:37 (-04),On Demand,Ben Alldis,30,Cycling,Theme,30 min 007 Ride,2021-09-30 13:25 (-04),254,141,43%,84,18.38,9.19,358,123.30,,
2021-10-01 10:08 (-04),On Demand,Hannah Corbin,30,Cycling,Music,30 min Country Ride,2021-09-30 05:54 (-04),229,127,42%,81,17.74,8.88,347,120.90,,
2021-10-01 10:38 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2000s Rock Ride,2021-09-29 13:25 (-04),274,152,47%,78,19.01,9.51,387,129.43,,
2021-10-01 11:08 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2021-09-25 07:37 (-04),52,86,36%,80,15.19,2.54,113,118.85,,
2021-10-02 11:36 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2021-03-20 07:53 (-04),829,153,42%,90,19.18,28.78,1183,131.09,,
2021-10-02 13:06 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2020-09-01 02:02 (-04),59,98,38%,82,16.04,2.68,125,126.96,,
2021-10-03 09:23 (-04),On Demand,Ben Alldis,30,Cycling,Theme,30 min 007 Ride,2021-09-30 13:25 (-04),253,140,42%,85,18.36,9.18,350,121.68,,
2021-10-03 09:53 (-04),On Demand,Bradley Rose,30,Cycling,Low Impact,30 min Low Impact Ride,2021-10-02 05:25 (-04),227,126,40%,86,17.64,8.83,344,120.24,,
2021-10-03 10:24 (-04),On Demand,Matt Wilpers,30,Cycling,Low Impact,30 min Low Impact Ride,2021-10-02 14:00 (-04),193,107,39%,82,16.51,8.25,315,114.08,,
2021-10-03 10:54 (-04),On Demand,Alex Toussaint,10,Cycling,Cool Down,10 min Cool Down Ride,2020-10-31 14:07 (-04),81,134,43%,82,18.24,3.05,118,122.40,,
2021-10-05 09:18 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2019-11-09 13:35 (-04),768,142,43%,84,18.65,27.97,1121,126.75,,
2021-10-05 10:49 (-04),On Demand,Denis Morton,10,Cycling,Cool Down,10 min Cool Down Ride,2020-11-21 12:45 (-04),53,88,36%,79,15.24,2.54,116,121.26,,
2021-10-06 09:25 (-04),Live,Sam Yo,30,Cycling,Music,30 min 2000s Pop Ride,2021-10-04 08:55 (-04),281,156,47%,77,19.10,9.55,362,124.33,,
2021-10-06 09:55 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2021-10-06 02:54 (-04),252,140,44%,79,18.21,9.11,383,128.66,,
2021-10-11 09:11 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min LHM: Power Zone Endurance Ride,2021-10-06 05:51 (-04),246,136,40%,90,18.16,9.09,318,114.82,,
2021-10-11 09:41 (-04),On Demand,Jess King,30,Cycling,Low Impact,30 min Low Impact Ride,2021-10-06 07:24 (-04),289,160,44%,86,19.51,9.76,374,126.64,,
2021-10-11 10:12 (-04),On Demand,Jess King,5,Cycling,Cool Down,5 min Cool Down Ride,2021-09-08 09:00 (-04),36,119,39%,86,17.35,1.44,57,119.90,,
2021-10-13 09:30 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Pop Ride,2021-10-13 05:54 (-04),238,132,40%,88,17.85,8.93,308,113.33,,
2021-10-14 09:31 (-04),On Demand,Matt Wilpers,30,Cycling,Theme,30 min Latin Celebration Ride,2019-09-25 11:17 (-04),286,159,47%,79,19.28,9.64,389,130.05,,
2021-10-14 10:02 (-04),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-16 09:00 (-04),24,79,31%,92,14.66,1.22,52,114.48,,
2021-10-16 09:08 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-10-09 07:53 (-04),551,153,41%,93,19.11,19.12,813,133.73,,
2021-10-16 10:09 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2021-06-16 01:45 (-04),64,107,41%,78,16.66,2.78,124,126.10,,
2021-10-18 09:21 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2021-10-06 02:54 (-04),290,161,46%,83,19.31,9.66,369,125.75,,
2021-10-18 09:52 (-04),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min LHM: Power Zone Endurance Ride,2020-10-03 07:48 (-04),265,147,42%,88,18.81,9.41,362,124.14,,
2021-10-18 10:22 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2019-10-07 01:32 (-04),68,113,41%,81,16.99,2.83,107,115.17,,
2021-10-19 09:22 (-04),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2021-10-16 07:23 (-04),661,147,42%,87,18.82,23.53,897,123.49,,
2021-10-19 10:37 (-04),On Demand,Ben Alldis,15,Cycling,Cool Down,15 min Cool Down Ride,2019-09-11 03:47 (-04),108,120,40%,86,17.36,4.34,182,124.59,,
2021-10-23 09:45 (-04),On Demand,Matt Wilpers,10,Cycling,Power Zone,10 min FTP Warm Up Ride,2019-10-25 16:04 (-04),81,135,38%,96,18.05,3.01,109,116.69,,
2021-10-23 09:58 (-04),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,2021-01-03 09:45 (-04),242,202,52%,80,21.43,7.14,304,144.14,,
2021-10-23 10:20 (-04),On Demand,Tunde Oyeneyin,10,Cycling,Cool Down,10 min Beyonce Cool Down Ride,2021-10-19 13:30 (-04),75,125,42%,91,17.58,2.93,117,121.89,,
2021-10-24 12:18 (-04),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-10-23 13:24 (-04),252,140,43%,95,18.32,9.16,337,118.95,,
2021-10-24 12:48 (-04),On Demand,Sam Yo,30,Cycling,Music,30 min 2010s Ride,2021-10-23 06:55 (-04),280,155,49%,84,19.17,9.59,415,135.49,,
